ФИО,Приказ,E-mail,Телефон,"Форма обучения","Баллы ЕГЭ",Статус,Курс
"Муравьёв Куприян Серапионович","от 20.12.2017 № 2538-к",hoopyocoo@inbox.ru,9193006312,внебюджет,243,Выпустился,5
"Бирюков Николай Владимирович","от 15.12.2016 № 2501-к",kjoryo@inbox.ru,9029187803,бюджет,224,Выпустился,5
"Сидоров Гордей Онисимович","от 10.3.2016 № 2538-к",myigiash@rambler.ru,9093955944,внебюджет,232,Выпустился,5
"Жуков Митрофан Русланович","от 2.10.2017 № 2538-к",chyonoochia@infobiz.com,9522096888,внебюджет,174,Зачислен,1
"Гуляева Вероника Филатовна","от 9.2.2016 № 2500-к",non@rumail.ru,9151129476,бюджет,223,Выпустился,5
"Тарасов Леонид Еремеевич","от 11.8.2017 № 2538-к",hjiciach@adelite.com,9621554488,внебюджет,235,Выпустился,5
"Лыткин Андрей Фёдорович","от 24.7.2016 № 2500-к",chaefyar@chat.ru,9167713945,бюджет,222,Отчислен,3
"Антонова Агафья Варламовна","от 7.4.2017 № 2501-к",lyeschyescher@yahoo.com,9089224933,внебюджет,236,Выпустился,5
"Иван Христофоровна","от 2.10.2016 № 2538-к",jiak@aol.com,9513264245,бюджет,188,Выпустился,5
"Сазонова Татьяна Павловна","от 14.9.2017 № 2538-к",rioxjoroo@nettaxi.com,9245142893,внебюджет,166,Отчислен,4
"Носова Антонина Протасьевна","от 14.3.2017 № 2501-к",vihyi@nihuja.net,9841136030,бюджет,195,Переведён,2
"Горбачёв Станислав Лукьянович","от 11.3.2017 № 2701-к",cohjajyi@lycos.com,9787502493,бюджет,224,Переведён,4
"Рожкова Елизавета Викторовна","от 3.10.2016 № 2701-к",shjapiothoo@netman.ru,9647239596,бюджет,246,Отчислен,3
"Калашникова Фаина Александровна","от 15.5.2016 № 2701-к",hixee@lycos.com,9827588155,бюджет,225,Выпустился,5
"Кудряшова Иванна Богдановна","от 7.8.2016 № 2500-к",pjefien@rambler.ru,9687629776,внебюджет,186,Зачислен,1
"Денисова Наина Эдуардовна","от 3.7.2017 № 2538-к",schoushjake@nettaxi.com,9636550835,внебюджет,203,Выпустился,5
"Сазонова Марина Дмитрьевна","от 29.7.2017 № 2500-к",xyejjup@xaker.ru,9667017987,внебюджет,174,Отчислен,3
"Гришин Виктор Евсеевич","от 11.7.2016 № 2501-к",cyachie@inbox.ru,9324174709,бюджет,214,Переведён,2
"Матвиенко Антон Федотович","от 24.2.2017 № 2500-к",qujischjed@yahoo.com,9307633818,внебюджет,226,Выпустился,5
"Стрелкова Прасковья Всеволодовна","от 18.1.2016 № 2701-к",ciecyebyul@rol.ru,9858689465,внебюджет,230,Зачислен,1
"Фокина Евгения Гордеевна","от 4.9.2017 № 2538-к",chikju@softhome.com,9371113667,внебюджет,217,Отчислен,3
"Молчанов Лаврентий Владленович","от 13.5.2016 № 2501-к",vudie@hob.ru,9220001777,внебюджет,183,Зачислен,1
"Миронов Даниил Егорович","от 23.10.2016 № 2701-к",quiuquyagosch@chat.ru,9200224407,внебюджет,234,Переведён,2
"Капустина Нина Улебовна","от 12.7.2016 № 2501-к",zhyuquou@land.ru,9270268915,внебюджет,236,Зачислен,1
"Прохоров Кондрат Альбертович","от 20.8.2017 № 2538-к",cymyi@email.ru,9277878976,внебюджет,158,Зачислен,1
"Щукина Вера Глебовна","от 17.7.2017 № 2501-к",pyor@nextmail.ru,9872765160,внебюджет,210,Зачислен,1
"Шаров Юлиан Матвеевич","от 26.11.2017 № 2500-к",rjosamie@netbox.com,9117404399,бюджет,226,Отчислен,4
"Жуков Игнатий Валерьянович","от 29.1.2017 № 2501-к",kyabegi@netman.ru,9640200884,внебюджет,225,Выпустился,5
"Игнатов Игнатий Онисимович","от 1.1.2016 № 2538-к",thyatjol@umr.ru,9196493612,бюджет,183,Переведён,3
"Кошелев Гордей Альвианович","от 30.12.2017 № 2501-к",ziazounjoh@lycos.com,9623055201,внебюджет,161,Отчислен,2
"Сысоев Всеволод Валерьевич","от 8.5.2016 № 2701-к",ljeryved@adelite.com,9234531717,бюджет,200,Отчислен,3
